Independent Holdings|Unabhängige Besitzungen|Domaines indépendants
Si'Arian Sept|Si'Arian-Sippe|Clan si'arian
Siege bolt|Belagerungsbolzen|Carreau de siège
Siege Lore Schematics|Belagerungstechnikpläne|Plans des techniques de siège
Siege Master|Belagerungsmeister|Maître de siège
Siege Melee Company|Nahkampfbelagerungskompanie|Compagnie de siège au corps à corps
Siege Ranged Company|Fernkampfbelagerungskompanie|Compagnie de siège à distance
Siegemaster|Belagerungsmeister|Maître de siège
Sirene|Sirene|Sirène
Skull Fist|Schädelfaust|Poing crânien
Skull Staff|Schädelstab|Bâton crânien
Slaan|Slaan|Slaan
Slaanri|Slaanri|Slaanri
Javelinier|Speerwerfer|Javelinier
Mystic|Mystiker|Mystique
Shaper|Former|Modeleur
Slaver|Sklavenhändler|Esclavagiste
Warrior|Krieger|Guerrier
Whisperer|Flüsterer|Chuchoteur
Slanri Enclave|Slaanri-Enklave|Enclave slaanri
Slanrii Enclave|Slaanri-Enklave|Enclave slaanri
Slash|Hieb|Entaille
Slavery Grounds|Sklavenplatz|Enclos d'esclaves
Slow|Langsam|Lent
Small|Klein|Petit
Small flock|Kleiner Schwarm|Petite nuée
Smoke Cloud|Rauchwolke|Nuage de fumée
Smoke Squib|Rauchstoß|Jet de fumée
Smoke Tint|Rauchfärbung|Teinte de fumée
Snowswamp|Schneesumpf|Marais enneigé
Sorcerer|Hexenmeister|Sorcier
Soul Vortex|Seelenwirbel|Vortex d'âmes
Soulless|Seelenloser|Sans-âme
Sovereign Company|Herrscherkompanie|Compagnie souveraine
Structures Placement|Gebäudeplatzierung|Placement des bâtiments
Spawn Marauders|Plünderer erzeugen|Faire apparaître des maraudeurs
Spear Spit|Speerförmige Spucke|Crachat en pointe
Specter|Gespenst|Spectre
Spectral Claw|Geisterklaue|Griffe spectrale
Speed|Geschwindigkeit|Vitesse
Spelldancer|Zaubertänzer|Danse-sort
Spiderling Grim|Düstere Jungspinne|Sombre araignée
Spineling|Stachelwesen|Créature épineuse
Spire Caller|Rufer der Spitze|Appelant de la flèche
Spirit Drain|Geistentzug|Drain d'esprit
Spirit Leech|Geistersauger|Sangsue spirituelle
Spirit Shock|Geisterschock|Choc spirituel
Spirit Storm|Geistersturm|Tempête spirituelle
Spirit Tree|Geisterbaum|Arbre des esprits
Spirithawk|Geisterfalke|Faucon spirituel
Sta'archan|Sta'archan|Sta'archan
Staff|Stab|Bâton
Star Maiden|Sternenjungfrau|Vierge des étoiles
Star Sparkling|Sternenfunkeln|Scintillement d'étoiles
Starting Day Time|Tageszeit zu Spielbeginn|Heure de début de partie
Steel Trow|Stahltrow|Trow d'acier
Stone production|Steinproduktion|Production de pierre
Stonehold Fortress|Steinburgfestung|Forteresse de pierre
Stonerider|Steinreiter|Chevaucheur de pierre
Storm Djinn|Sturmdschinn|Djinn des tempêtes
Storm Drake|Sturmdrache|Drake des tempêtes
Storm Lord|Sturmlord|Seigneur des tempêtes
Stormbringer|Sturmbringer|Porte-tempête
Stormbringer Post|Sturmbringerposten|Poste du porte-tempête
Stormwind Aura|Sturmwindaura|Aura de vent tempétueux
Summoned Horde|Beschworene Horde|Horde invoquée
Summoner|Beschwörer|Invocateur
Supplier|Versorger|Ravitailleur
Supply Company|Versorgungskompanie|Compagnie de ravitaillement
Swamp Lurkerer|Sumpflauerer|Rôdeur des marais
Swamp Lurkerers|Sumpflauerer|Rôdeurs des marais
Swarm of Shooting Star|Sternschnuppenschwarm|Nuée d'étoiles filantes
Sword|Schwert|Épée
Target Captain|Ziel: Hauptmann|Cible : capitaine
Target Large|Großes Ziel|Grande cible
Target Medium|Mittleres Ziel|Cible moyenne
Target Small|Kleines Ziel|Petite cible
Techs|Technologien|Technologies
Temptress Esence|Essenz der Verführerin|Essence de la tentatrice
Terrify|In Schrecken versetzen|Terrifier
The Gate|Das Tor|La Porte
Thieve Guild Associate|Mitglied der Diebesgilde|Associé de la guilde des voleurs
Thives|Diebe|Voleurs
Thunder|Donner|Tonnerre
Thundercloud|Donnerwolke|Nuage d'orage
Thunderstorm|Gewitter|Orage
Toporok|Kleine Axt|Petite hache
Tower Guard|Turmwache|Garde de la tour
Tower Improved Guard|Verstärkte Turmwache|Garde de tour renforcée
Tower of Conjuration|Turm der Beschwörung|Tour de conjuration
Trees Dark|Dunkle Bäume|Arbres sombres
Trees Dead|Tote Bäume|Arbres morts
Tribe Protector|Stammesbeschützer|Protecteur tribal
Trident|Dreizack|Trident
Trow Rock|Trow-Felsgeschoss|Rocher du trow
Trow Siege Horde|Trow-Belagerungshorde|Horde de siège trow
Umbral Barrier|Umbrabarriere|Barrière ténébreuse
Umbral Thaumaturgist|Umbrathaumaturg|Thaumaturge ténébreux
Unholy Attacks|Unheilige Angriffe|Attaques impies
Unholy Damage|Unheiliger Schaden|Dégâts impies
Unholy Resistant|Widerstand gegen unheiligen Schaden|Résistance aux dégâts impies
Unit limit for Companies|Einheitenlimit für Kompanien|Limite d'unités des compagnies
Vadis per atria mortis|Du schreitest durch die Hallen des Todes|Tu traverses les salles de la mort
Vampyrism|Vampirismus|Vampirisme
Very Fast|Sehr schnell|Très rapide
Very Large|Sehr groß|Très grand
Very Slow|Sehr langsam|Très lent
Void Beast|Bestie der Leere|Bête du Vide
Volley of Arrows|Pfeilsalve|Salve de flèches
Volley of Crimsonblast|Purpurschlagsalve|Salve de déflagrations cramoisies
Volley of Fireball|Feuerballsalve|Salve de boules de feu
Vorpal Arbalest|Vorpalarmbrust|Arbalète vorpale
Vorpal Arrow|Vorpalpfeil|Flèche vorpale
Vorpal Attack|Vorpalangriff|Attaque vorpale
Vorpal Beast|Vorpalbestie|Bête vorpale
Vorpal Blade|Vorpalklinge|Lame vorpale
Vorpal Bolt|Vorpalbolzen|Carreau vorpal
Vorpal Bow|Vorpalbogen|Arc vorpal
Vorpal Damage|Vorpalschaden|Dégâts vorpals
Vorpal Engine|Vorpalmaschine|Machine vorpale
Vorpal Marker|Vorpalmarkierung|Marque vorpale
Vorpal Ranged Attack|Vorpalfernangriff|Attaque vorpale à distance
Vorpal Vortex|Vorpalwirbel|Vortex vorpal
Vulnerability|Verwundbarkeit|Vulnérabilité
Wall|Mauer|Mur
Wall Guard|Mauerwache|Garde du mur
Wall Improved Guard|Verstärkte Mauerwache|Garde du mur renforcée
War Forge|Kriegsschmiede|Forge de guerre
Warhound|Kriegshund|Chien de guerre
Warrior Lodge|Kriegerhütte|Loge des guerriers
Whitesteel Golem|Weißstahlgolem|Golem d'acier blanc
Whitesteel Golems|Weißstahlgolems|Golems d'acier blanc
Whitesteel Mace|Weißstahlstreitkolben|Masse d'acier blanc
Wight|Grabunhold|Revenant
Wild Spirit|Wilder Geist|Esprit sauvage
Windrider Plains Guard|Windreiter der Ebenenwache|Chevaucheur du vent de la garde des plaines
Withered Ground|Verdorrter Boden|Sol desséché
Wood production|Holzproduktion|Production de bois
Wraith|Geist|Esprit spectral
Wraith Cloak|Geistermantel|Voile spectral
Wraith Dreadfire|Geisterschreckensfeuer|Feu d'effroi spectral
Wrath|Zorn|Courroux
Wrath of Desert|Zorn der Wüste|Courroux du désert
Wyvern|Lindwurm|Vouivre
Wyvern Claw|Lindwurmklaue|Griffe de vouivre
Wyvern Hatchling|Lindwurmjungtier|Nouveau-né vouivre
Wyvern poison spit|Giftspucke des Lindwurms|Crachat venimeux de vouivre
Wyvern Spit|Lindwurmspucke|Crachat de vouivre
Wyverns Nest|Lindwurmnest|Nid de vouivres
Young Fire Dragon|Junger Feuerdrache|Jeune dragon de feu
Young Ice Dragon|Junger Eisdrache|Jeune dragon de glace
Young Storm Drake|Junger Sturmdrache|Jeune drake des tempêtes
Young Ice Breath|Eisatem des Jungdrachen|Souffle de glace du jeune dragon
Youngling Ice Breath|Eisatem des Drachenjungen|Souffle de glace du dragonnet
Young Frozen Mist|Frostnebel des Jungdrachen|Brume glacée du jeune dragon
Youngling Frozen Mist|Frostnebel des Drachenjungen|Brume glacée du dragonnet
Young Drake Lightning|Blitz des Jungdrachen|Éclair du jeune drake
Youngling Drake Lightning|Blitz des Drachenjungen|Éclair du jeune drake
Youngling Ice Dragon|Eisdrachenjunges|Dragonnet de glace
Zombie|Zombie|Zombie
Zombies|Zombies|Zombies
